size,thread1,thread2,thread4,thread8,thread16,thread32,thread64
101,0.0204,0.0104,0.0100,0.0105,0.0106,0.0107,0.0146
201,0.1712,0.0858,0.0779,0.0787,0.0800,0.0797,0.0803
301,0.5697,0.2863,0.2616,0.2644,0.2716,0.2688,0.3011
401,1.3884,0.6974,0.6224,0.6394,0.6297,0.6557,0.6459
501,2.7986,1.4080,1.2261,1.2469,1.2381,1.2791,1.4008
601,4.9809,2.5786,2.1551,2.1444,2.1755,2.2501,2.2561
701,8.1308,4.3173,3.5954,3.5647,3.6465,3.7569,3.9364
801,12.5641,6.6001,5.5447,5.5310,5.5825,5.5924,5.7739
901,18.4556,9.5447,8.1706,8.2530,8.3038,8.2822,8.2451
1001,26.0820,13.0804,11.3136,11.5817,11.7595,11.7445,12.1095
